N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
19,N/A,01073002000,Jefferson County,Alabama,2020,52,54,50,66,66,66,63,1.5,7.7,69,25.2,262.9,93,4.1,21.2,77,72.8,79,4,84.9,55.5,88,55.8,73.7,55,60,50,68,7.4,29,45,N/A,N/A,67,8.1,60,89,3.4,7.5,12,61,15,N/A,N/A,N/A,34,36,33,34,12.2,11.1,37,N/A,N/A,2,87.5,44.5,55,41.6,41,72,25.4,34.7,2,94.2,79.2
20,N/A,01073002000,Jefferson County,Alabama,2021,45,43,47,67,67,67,67,0,9.7,N/A,25.7,N/A,93,4.1,21.2,78,73.3,80.5,2,89.1,56.5,95,55.6,80.4,36,23,48,20,5.3,-5,21,N/A,N/A,27,7.1,0,93,5,13.2,3,59,4,N/A,N/A,N/A,32,39,26,15,13.8,4.3,63,N/A,N/A,2,88.8,45.1,33,41.3,44.2,70,27.5,36.9,0,95,68.2
21,N/A,01073002000,Jefferson County,Alabama,2022,36,29,43,60,51,68,51,-0.3,2.3,N/A,31.6,N/A,93,4.1,21.2,84,72.9,81.8,1,90.6,58.5,94,56.3,79.6,34,26,42,65,-15,5.3,9,N/A,N/A,5,17.9,-18.8,82,5.1,10,2,60,2,N/A,N/A,N/A,14,9,19,8,14.5,-2.1,10,N/A,N/A,1,88.8,39.6,18,41.3,48,58,27.4,30.9,0,94.9,67.5
22,N/A,01073002000,Jefferson County,Alabama,2023,38,36,40,50,34,65,34,-0.5,-3.5,N/A,48.8,N/A,93,4.1,21.2,72,72.2,78,2,91.7,67.3,94,56.7,79.9,38,38,37,41,28.8,27.5,49,N/A,N/A,23,-8.5,-19.2,72,3.9,5.9,2,60,2,N/A,N/A,N/A,27,36,18,8,16.7,-1.7,63,N/A,N/A,1,88.8,42.3,28,41.5,45.5,44,27.8,25.4,1,95,70.9
23,N/A,01073002000,Jefferson County,Alabama,2024,37,35,39,50,34,65,34,-0.5,-3.5,N/A,48.8,N/A,93,4.1,21.2,72,72.2,78,2,91.7,67.3,94,56.7,79.9,40,47,34,71,-5.8,19.6,47,N/A,N/A,23,-8.5,-19.2,66,3.6,4.9,2,60,2,N/A,N/A,N/A,21,24,18,8,16.7,-1.7,41,N/A,N/A,1,88.8,42.3,28,41.5,45.5,44,27.8,25.4,1,95,70.9
24,N/A,01073012602,Jefferson County,Alabama,2017,44,40,49,44,28,61,37,2.1,0.7,19,-0.4,-17.9,73,4.1,8.7,71,71.2,76.2,13,82.9,64.4,88,57.6,74.5,58,59,58,46,5.9,-0.8,47,N/A,N/A,83,5.7,28.6,88,4,8.3,28,59,35,N/A,N/A,N/A,30,33,27,32,3.3,-0.3,34,N/A,N/A,23,86.3,73.5,38,41.3,43.2,12,25.5,10.5,36,91.2,88.6
25,N/A,01073012602,Jefferson County,Alabama,2018,46,41,50,38,16,61,17,2.1,-5.8,16,5.4,-19.9,73,4.1,8.7,73,72,77.4,13,82.9,64.4,84,57,71.6,58,56,60,46,5.9,-0.8,70,N/A,N/A,53,1.6,-3.3,88,4,8.3,32,60,40,N/A,N/A,N/A,40,50,29,19,5.7,-3.8,82,N/A,N/A,23,86.6,74.1,51,41.5,41.4,10,25.5,9,32,92.3,89.1
26,N/A,01073012602,Jefferson County,Alabama,2019,46,41,50,38,16,60,16,1.8,-7,15,16.5,-12.2,73,4.1,8.7,77,72.5,78.7,12,83.9,65.4,80,56.5,69.3,64,68,60,67,13.7,16.9,48,N/A,N/A,88,8.6,39.2,88,4,8.3,32,60,41,N/A,N/A,N/A,34,38,29,19,9.2,-0.4,57,N/A,N/A,25,87,76.2,54,41.6,41.1,13,25.3,10.7,25,93.3,89.2
27,N/A,01073012602,Jefferson County,Alabama,2020,44,40,49,39,16,62,18,1.5,-5.8,14,25.2,-10.1,73,4.1,8.7,83,72.8,80.6,12,84.9,66.9,79,55.8,68,52,48,56,62,7.4,8.3,48,N/A,N/A,35,8.1,-12.1,83,3.4,6.4,30,61,39,N/A,N/A,N/A,43,56,30,34,12.2,9,77,N/A,N/A,30,87.5,79.9,57,41.6,40.6,13,25.4,10.9,20,94.2,89.2
28,N/A,01073012602,Jefferson County,Alabama,2021,56,58,53,50,36,63,40,0,-0.8,31,25.7,14.3,73,4.1,8.7,78,73.3,80.3,14,89.1,76.5,87,55.6,73.3,64,68,59,66,5.3,7.6,65,N/A,N/A,74,7.1,18.2,87,5,10.7,31,59,39,N/A,N/A,N/A,54,70,38,51,13.8,17.5,88,N/A,N/A,36,88.8,84.3,59,41.3,39.8,N/A,27.5,N/A,19,95,89.8
29,N/A,01073012602,Jefferson County,Alabama,2022,43,43,43,52,42,62,50,-0.3,1.8,33,31.6,21.9,73,4.1,8.7,64,72.9,76.4,15,90.6,79.9,94,56.3,79,45,43,47,77,-15,-4.1,18,N/A,N/A,34,17.9,-7.5,82,5.1,9.9,12,60,16,N/A,N/A,N/A,32,44,20,46,14.5,16,41,N/A,N/A,16,88.8,73.9,50,41.3,41.2,0,27.4,2.6,14,94.9,88
30,N/A,01073012602,Jefferson County,Alabama,2023,48,52,44,54,50,59,54,-0.5,3.3,46,48.8,59.4,73,4.1,8.7,59,72.2,74.5,15,91.7,81.4,89,56.7,75.3,48,47,48,40,28.8,7.4,57,N/A,N/A,45,-8.5,-22.2,84,3.9,8,12,60,16,N/A,N/A,N/A,41,58,24,31,16.7,11,84,N/A,N/A,9,88.8,67.3,80,41.5,36.6,0,27.8,2.9,8,95,84.5
