N/A,META,,,,,SUMMARY,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion
,,,,,,,,
113,N/A,24510280403,Baltimore city,Maryland,2019,43,47,39
114,N/A,24510240100,Baltimore city,Maryland,2017,64,61,66
115,N/A,24510240100,Baltimore city,Maryland,2018,64,64,65
116,N/A,24510240100,Baltimore city,Maryland,2019,66,65,66
117,N/A,24510270703,Baltimore city,Maryland,2017,38,32,44
118,N/A,24510270703,Baltimore city,Maryland,2018,41,36,46
119,N/A,24510270703,Baltimore city,Maryland,2019,43,38,48
120,N/A,24510270102,Baltimore city,Maryland,2017,38,34,42
121,N/A,24510270102,Baltimore city,Maryland,2018,44,48,40
122,N/A,24510270102,Baltimore city,Maryland,2019,38,38,39
123,N/A,24510260202,Baltimore city,Maryland,2017,38,39,38
124,N/A,24510260202,Baltimore city,Maryland,2018,34,31,38
125,N/A,24510260202,Baltimore city,Maryland,2019,40,43,36
126,N/A,24510010100,Baltimore city,Maryland,2017,58,51,64
127,N/A,24510010100,Baltimore city,Maryland,2018,56,49,63
128,N/A,24510010100,Baltimore city,Maryland,2019,59,54,64
129,N/A,24510130700,Baltimore city,Maryland,2017,55,55,55
130,N/A,24510130700,Baltimore city,Maryland,2018,56,57,54
131,N/A,24510130700,Baltimore city,Maryland,2019,57,60,54
132,N/A,24005430900,Baltimore County,Maryland,2017,52,49,55
133,N/A,24005430900,Baltimore County,Maryland,2018,47,41,53
134,N/A,24005430900,Baltimore County,Maryland,2019,46,41,51
135,N/A,24510151300,Baltimore city,Maryland,2017,32,34,31
136,N/A,24510151300,Baltimore city,Maryland,2018,34,35,32
137,N/A,24510151300,Baltimore city,Maryland,2019,31,30,32
138,N/A,24510270200,Baltimore city,Maryland,2017,48,41,56
139,N/A,24510270200,Baltimore city,Maryland,2018,46,38,54
140,N/A,24510270200,Baltimore city,Maryland,2019,44,34,53
141,N/A,24510160600,Baltimore city,Maryland,2017,33,40,26
142,N/A,24510160600,Baltimore city,Maryland,2018,37,48,26
143,N/A,24510160600,Baltimore city,Maryland,2019,32,36,27
144,N/A,24510271900,Baltimore city,Maryland,2017,40,40,39
145,N/A,24510271900,Baltimore city,Maryland,2018,41,43,39
146,N/A,24510271900,Baltimore city,Maryland,2019,34,28,39
