N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
9,N/A,26163985000,Wayne County,Michigan,2018,N/A,18,14,13,0,26,0,2.1,-36.8,N/A,5.4,N/A,26,4.1,1.8,N/A,72,N/A,N/A,82.9,N/A,N/A,57,N/A,12,23,1,64,5.9,50,4,N/A,N/A,1,1.6,-50,N/A,N/A,N/A,N/A,60,N/A,1,20.1,2.4,N/A,32,N/A,N/A,5.7,N/A,32,N/A,N/A,N/A,86.6,N/A,N/A,41.5,N/A,N/A,25.5,N/A,N/A,92.3,N/A
10,N/A,26163985000,Wayne County,Michigan,2019,N/A,18,14,13,0,26,0,1.8,-36.1,N/A,16.5,N/A,26,4.1,1.8,N/A,72.5,N/A,N/A,83.9,N/A,N/A,56.5,N/A,20,39,1,8,13.7,0,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,1,20.1,2.4,N/A,15,N/A,N/A,9.2,N/A,15,N/A,N/A,N/A,87,N/A,N/A,41.6,N/A,N/A,25.3,N/A,N/A,93.3,N/A
11,N/A,26163985000,Wayne County,Michigan,2020,N/A,28,14,N/A,N/A,26,N/A,1.5,N/A,N/A,25.2,N/A,26,4.1,1.8,N/A,72.8,N/A,N/A,84.9,N/A,N/A,55.8,N/A,19,37,1,17,7.4,0,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,N/A,1,20.6,1.7,N/A,18,N/A,N/A,12.2,N/A,18,N/A,N/A,N/A,87.5,N/A,N/A,41.6,N/A,N/A,25.4,N/A,N/A,94.2,N/A
12,N/A,26163985000,Wayne County,Michigan,2021,N/A,46,14,N/A,N/A,26,N/A,0,N/A,N/A,25.7,N/A,26,4.1,1.8,N/A,73.3,N/A,N/A,89.1,N/A,N/A,55.6,N/A,14,27,1,20,5.3,0,62,N/A,N/A,0,7.1,-100,N/A,N/A,N/A,N/A,59,N/A,1,20.6,1.7,N/A,64,N/A,N/A,13.8,N/A,64,N/A,N/A,N/A,88.8,N/A,N/A,41.3,N/A,N/A,27.5,N/A,N/A,95,N/A
13,N/A,26163985000,Wayne County,Michigan,2022,N/A,49,14,N/A,N/A,26,N/A,-0.3,N/A,N/A,31.6,N/A,26,4.1,1.8,N/A,72.9,N/A,N/A,90.6,N/A,N/A,56.3,N/A,28,56,1,53,-15,0,58,N/A,N/A,N/A,17.9,N/A,N/A,N/A,N/A,N/A,60,N/A,1,21.1,2.4,N/A,42,N/A,N/A,14.5,N/A,42,N/A,N/A,N/A,88.8,N/A,N/A,41.3,N/A,N/A,27.4,N/A,N/A,94.9,N/A
14,N/A,26163985000,Wayne County,Michigan,2023,N/A,14,14,N/A,N/A,26,N/A,-0.5,N/A,N/A,48.8,N/A,26,4.1,1.8,N/A,72.2,N/A,N/A,91.7,N/A,N/A,56.7,N/A,10,20,1,10,28.8,0,6,N/A,N/A,44,-8.5,0,N/A,N/A,N/A,N/A,60,N/A,1,20.7,1.7,N/A,9,N/A,N/A,16.7,N/A,9,N/A,N/A,N/A,88.8,N/A,N/A,41.5,N/A,N/A,27.8,N/A,N/A,95,N/A
15,N/A,26163985000,Wayne County,Michigan,2024,N/A,38,15,N/A,N/A,26,N/A,-0.5,N/A,N/A,48.8,N/A,26,4.1,1.8,N/A,72.2,N/A,N/A,91.7,N/A,N/A,56.7,N/A,26,48,4,49,-5.8,0,51,N/A,N/A,44,-8.5,0,N/A,N/A,N/A,N/A,60,N/A,4,1.3,0.2,N/A,27,N/A,N/A,16.7,N/A,27,N/A,N/A,N/A,88.8,N/A,N/A,41.5,N/A,N/A,27.8,N/A,N/A,95,N/A
16,N/A,26163513900,Wayne County,Michigan,2017,33,44,22,23,18,28,4,2.1,-16.6,32,-0.4,-2.8,9,4.1,0.5,64,71.2,74.4,2,82.9,44.5,39,57.6,53.4,21,40,2,51,5.9,16.7,1,N/A,N/A,67,5.7,150,N/A,N/A,N/A,2,59,2,3,20.1,6.8,54,74,35,53,3.3,10.7,95,N/A,N/A,10,86.3,60.6,25,41.3,45.6,95,25.5,57,11,91.2,81.4
17,N/A,26163513900,Wayne County,Michigan,2018,30,37,24,31,30,32,8,2.1,-8.1,51,5.4,21.9,9,4.1,0.5,81,72,79.4,2,82.9,44.5,34,57,50.9,20,36,4,51,5.9,16.7,2,N/A,N/A,55,1.6,20,N/A,N/A,N/A,4,60,4,3,20.1,6.8,40,46,35,60,5.7,19.2,32,N/A,N/A,7,86.6,56.9,23,41.5,46.4,94,25.5,54.6,15,92.3,84.7
18,N/A,26163513900,Wayne County,Michigan,2019,22,20,23,26,20,31,35,1.8,1.4,6,16.5,-26.2,9,4.1,0.5,88,72.5,81.9,3,83.9,49.2,25,56.5,46,4,4,4,9,13.7,0,1,N/A,N/A,1,8.6,-66.7,N/A,N/A,N/A,4,60,4,3,20.1,6.8,36,37,35,45,9.2,13.7,29,N/A,N/A,5,87,54.1,24,41.6,46.4,86,25.3,43.8,26,93.3,89.5
19,N/A,26163513900,Wayne County,Michigan,2020,32,40,24,28,25,31,47,1.5,4.4,3,25.2,-38.9,9,4.1,0.5,93,72.8,84.4,3,84.9,53.5,20,55.8,42.9,30,58,3,46,7.4,14.3,66,N/A,N/A,63,8.1,50,N/A,N/A,N/A,3,61,3,3,20.6,6.1,38,38,38,20,12.2,6.7,57,N/A,N/A,3,87.5,49.6,19,41.6,47.7,82,25.4,40.3,47,94.2,93.8
20,N/A,26163513900,Wayne County,Michigan,2021,30,41,20,25,14,36,16,0,-7.3,11,25.7,-16,9,4.1,0.5,86,73.3,82.8,38,89.1,86.4,12,55.6,37.1,26,49,2,21,5.3,0,60,N/A,N/A,66,7.1,133.3,N/A,N/A,N/A,1,59,1,4,20.6,7.4,40,60,21,32,13.8,12.8,87,N/A,N/A,9,88.8,65.9,22,41.3,46.9,N/A,27.5,N/A,32,95,92.5
21,N/A,26163513900,Wayne County,Michigan,2022,28,37,20,28,18,37,12,-0.3,-16.3,25,31.6,16.6,9,4.1,0.5,80,72.9,80.8,22,90.6,82.8,37,56.3,51.1,16,28,4,4,-15,-37.5,14,N/A,N/A,66,17.9,142.9,N/A,N/A,N/A,3,60,3,4,21.1,8.6,42,64,19,63,14.5,37.6,65,N/A,N/A,20,88.8,77,13,41.3,49.5,N/A,27.4,N/A,25,94.9,91.1
22,N/A,26163513900,Wayne County,Michigan,2023,26,32,20,24,14,34,12,-0.5,-21.8,16,48.8,15.8,9,4.1,0.5,39,72.2,69.2,20,91.7,84.2,67,56.7,63.4,18,32,4,57,28.8,60,35,N/A,N/A,3,-8.5,-58.8,N/A,N/A,N/A,3,60,3,4,20.7,7.5,36,51,21,67,16.7,68.3,35,N/A,N/A,25,88.8,80,12,41.5,50.3,N/A,27.8,N/A,26,95,91.3
23,N/A,26163513900,Wayne County,Michigan,2024,27,34,20,24,14,34,12,-0.5,-21.8,16,48.8,15.8,9,4.1,0.5,39,72.2,69.2,20,91.7,84.2,67,56.7,63.4,20,35,4,60,-5.8,12.5,42,N/A,N/A,3,-8.5,-58.8,N/A,N/A,N/A,3,60,3,4,1.3,0.2,36,52,21,67,16.7,68.3,38,N/A,N/A,25,88.8,80,12,41.5,50.3,N/A,27.8,N/A,26,95,91.3
24,N/A,26163550400,Wayne County,Michigan,2017,56,56,57,46,38,53,28,2.1,0.5,48,-0.4,2.5,17,4.1,1.1,37,71.2,68.1,82,82.9,91.9,75,57.6,67.9,57,67,47,59,5.9,5.7,72,N/A,N/A,69,5.7,26,26,4,2.6,62,59,71,53,20.1,20.7,66,62,70,87,3.3,14.2,37,N/A,N/A,85,86.3,95.1,21,41.3,46.6,88,25.5,45.6,84,91.2,96.3
