N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
19,N/A,28049002500,Hinds County,Mississippi,2020,36,41,30,35,38,32,17,1,-4.6,58,17.5,54.7,23,3.1,1,30,77.8,73.7,10,80.8,61.2,65,73,77.8,51,66,36,67,6.7,66.7,N/A,N/A,N/A,65,7.4,55.6,95,3.6,10,7,48,7,6,20.6,9.5,20,18,22,18,11.1,3.3,N/A,N/A,N/A,17,84.9,67.6,19,41.8,47.4,46,23,21.7,4,93.2,80.1
20,N/A,28049002500,Hinds County,Mississippi,2021,32,29,36,41,44,38,42,-0.7,0.6,45,15.9,30.1,23,3.1,1,67,78.5,81.8,20,85.9,76.3,44,72.5,70.3,34,32,36,20,5.4,0,N/A,N/A,N/A,45,11.2,21.4,85,5.1,10,19,47,18,5,20.6,8.9,22,10,33,10,12.4,-0.4,N/A,N/A,N/A,14,86.3,67.6,48,41.3,41.6,66,25.3,32.5,3,94.1,78.5
21,N/A,28049002500,Hinds County,Mississippi,2022,30,21,39,42,40,44,56,-0.8,5.9,24,21.5,6.1,23,3.1,1,86,77.9,86,24,87.6,80.6,41,72.6,69,28,14,42,3,-11.8,-40,N/A,N/A,N/A,26,13.3,5.9,95,4.9,16.7,24,46,23,8,20.9,10.8,19,8,30,8,13.1,-4.4,N/A,N/A,N/A,11,86.4,64.1,29,41.4,45,78,25.2,39.8,2,94,75.6
22,N/A,28049002500,Hinds County,Mississippi,2023,38,37,39,43,46,40,45,-0.9,1.5,48,40.3,61.9,23,3.1,1,68,77.4,81.1,36,88.8,85.9,35,72.8,66.8,45,48,42,48,27.6,41.7,N/A,N/A,N/A,49,-8.7,5.6,94,3.8,11.8,24,46,23,8,20.7,10.6,25,16,34,16,15.1,4.4,N/A,N/A,N/A,11,86.3,64.3,29,41.5,45.1,93,25.3,59.9,3,93.9,76.4
23,N/A,28049002500,Hinds County,Mississippi,2024,36,39,33,43,46,40,45,-0.9,1.5,48,40.3,61.9,23,3.1,1,68,77.4,81.1,36,88.8,85.9,35,72.8,66.8,41,56,26,63,-4.9,17.6,N/A,N/A,N/A,49,-8.7,5.6,N/A,N/A,N/A,24,46,23,28,1.1,0.7,25,16,34,16,15.1,4.4,N/A,N/A,N/A,11,86.3,64.3,29,41.5,45.1,93,25.3,59.9,3,93.9,76.4
24,N/A,28049000301,Hinds County,Mississippi,2017,35,39,31,24,8,40,10,1.5,-10.6,7,-1.2,-29.8,16,3.1,0.5,65,76.5,79.3,25,78.6,69,55,74.1,75.7,32,36,27,43,4.1,7.1,8,N/A,N/A,58,4.5,30,N/A,N/A,N/A,49,48,47,5,20.3,8.7,49,72,26,68,3,37,77,N/A,N/A,9,83.7,54.7,33,41.4,44,33,23.1,17.6,27,90,85.6
25,N/A,28049000301,Hinds County,Mississippi,2018,31,33,29,21,8,34,14,1.4,-7.2,3,3.1,-58.7,16,3.1,0.5,46,77.1,76.4,25,78.6,69,51,73.8,74.1,30,32,27,43,4.1,7.1,8,N/A,N/A,45,0,7.7,N/A,N/A,N/A,49,48,47,5,20.3,8.7,42,60,25,68,5.1,41,52,N/A,N/A,12,84,60.7,53,41.6,41.2,22,22.9,13.5,14,91.2,83.6
26,N/A,28049000301,Hinds County,Mississippi,2019,34,38,30,20,8,32,14,1.2,-7,3,10.8,-53.6,16,3.1,0.5,27,77.5,72.7,29,79.7,72.2,54,73.6,74.8,40,53,26,56,13.3,26.7,67,N/A,N/A,36,6.6,7.1,N/A,N/A,N/A,46,48,44,5,20.3,8.7,43,53,33,68,8.3,41.6,38,N/A,N/A,13,84.4,62.3,78,41.7,37.9,30,22.9,16.1,12,92.3,84.3
27,N/A,28049000301,Hinds County,Mississippi,2020,32,34,30,20,8,31,12,1,-8.6,5,17.5,-31.2,16,3.1,0.5,14,77.8,68.7,30,80.8,74.2,64,73,77.5,34,45,22,69,6.7,63.2,59,N/A,N/A,7,7.4,-20,N/A,N/A,N/A,40,48,38,4,20.6,8.5,43,50,36,67,11.1,38.2,34,N/A,N/A,12,84.9,62.3,86,41.8,36.5,35,23,18.2,11,93.2,84.8
28,N/A,28049000301,Hinds County,Mississippi,2021,36,30,42,30,12,47,14,-0.7,-14.4,9,15.9,-33.5,16,3.1,0.5,17,78.5,69.3,64,85.9,88.9,90,72.5,87.3,32,23,40,4,5.4,-22.6,10,N/A,N/A,55,11.2,33.3,77,5.1,8.3,37,47,35,7,20.6,10,47,54,40,66,12.4,36.7,43,N/A,N/A,12,86.3,65.4,94,41.3,33.3,37,25.3,20.4,15,94.1,86.7
