N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
19,N/A,13121006000,Fulton County,Georgia,2020,49,64,34,54,68,39,70,1.5,12,67,25.2,95.4,72,4.1,8.3,52,72.8,73.3,11,84.9,66.5,22,55.8,44,49,62,36,71,7.4,23.2,74,N/A,N/A,42,8.1,8.6,N/A,N/A,N/A,30,61,39,42,20.6,19.1,44,62,26,65,12.2,27,60,N/A,N/A,26,87.5,77.9,55,41.6,40.8,13,25.4,10.6,8,94.2,84.7
20,N/A,13121006000,Fulton County,Georgia,2021,52,63,40,56,67,46,63,0,6.4,71,25.7,186.6,72,4.1,8.3,65,73.3,77.1,9,89.1,72.1,36,55.6,50.1,52,59,44,59,5.3,9.4,48,N/A,N/A,70,7.1,55.6,41,5,4.3,46,59,55,46,20.6,19.7,48,64,31,67,13.8,32.1,62,N/A,N/A,21,88.8,77.3,41,41.3,42.8,59,27.5,31.6,4,95,81.8
21,N/A,13121006000,Fulton County,Georgia,2022,42,52,31,50,62,38,52,-0.3,2.5,71,31.6,245.8,72,4.1,8.3,57,72.9,74.8,5,90.6,70.4,20,56.3,43.1,43,46,40,33,-15,-22.6,57,N/A,N/A,47,17.9,23.5,39,5.1,4.2,36,60,45,46,21.1,20.3,32,48,16,55,14.5,22.9,41,N/A,N/A,19,88.8,76.3,26,41.3,45.7,N/A,27.4,N/A,2,94.9,78.7
22,N/A,13121006000,Fulton County,Georgia,2023,44,49,39,50,54,47,36,-0.5,-3.3,71,48.8,270.2,72,4.1,8.3,64,72.2,75.7,10,91.7,78.8,42,56.7,53.4,44,52,36,37,28.8,18.1,51,N/A,N/A,67,-8.5,18.2,25,3.9,2.4,36,60,45,46,20.7,20,38,40,35,61,16.7,30.4,19,N/A,N/A,20,88.8,77.1,34,41.5,44.3,81,27.8,45.5,5,95,82
23,N/A,13121006000,Fulton County,Georgia,2024,46,52,40,50,54,47,36,-0.5,-3.3,71,48.8,270.2,72,4.1,8.3,64,72.2,75.7,10,91.7,78.8,42,56.7,53.4,46,53,38,49,-5.8,-5.9,43,N/A,N/A,67,-8.5,18.2,8,3.6,1.2,36,60,45,71,1.3,2,42,48,35,61,16.7,30.4,36,N/A,N/A,20,88.8,77.1,34,41.5,44.3,81,27.8,45.5,5,95,82
24,N/A,13121002800,Fulton County,Georgia,2017,56,58,55,70,69,70,69,2.1,30.9,N/A,-0.4,N/A,69,4.1,7.5,93,71.2,83,22,82.9,71.3,94,57.6,79.7,61,66,56,63,5.9,7.8,72,N/A,N/A,64,5.7,21.3,64,4,5,24,59,30,80,20.1,27.1,38,39,38,15,3.3,-5,63,N/A,N/A,1,86.3,27.3,4,41.3,54.3,97,25.5,61.5,48,91.2,90.9
25,N/A,13121002800,Fulton County,Georgia,2018,56,61,52,68,69,68,69,2.1,34.4,N/A,5.4,N/A,69,4.1,7.5,87,72,81.1,22,82.9,71.3,95,57,80.3,61,65,57,63,5.9,7.8,56,N/A,N/A,75,1.6,35.1,64,4,5,26,60,33,80,20.1,27.1,39,48,30,52,5.7,12.3,43,N/A,N/A,1,86.6,29.3,5,41.5,53.9,65,25.5,31.3,50,92.3,92.2
26,N/A,13121002800,Fulton County,Georgia,2019,50,53,46,54,44,64,69,1.8,30.4,18,16.5,-1.6,69,4.1,7.5,66,72.5,76.2,24,83.9,73.9,96,56.5,80.4,61,65,57,88,13.7,44.1,68,N/A,N/A,40,8.6,3.9,64,4,5,27,60,35,80,20.1,27.1,34,51,18,58,9.2,19.5,44,N/A,N/A,1,87,29.5,6,41.6,52.8,17,25.3,12.6,49,93.3,93.2
27,N/A,13121002800,Fulton County,Georgia,2020,49,56,42,60,64,57,68,1.5,21.7,61,25.2,77.9,69,4.1,7.5,41,72.8,70.7,22,84.9,74.4,95,55.8,80,56,58,55,76,7.4,18.1,32,N/A,N/A,66,8.1,23.8,62,3.4,4.2,27,61,35,76,20.6,26.5,30,46,13,53,12.2,19.5,40,N/A,N/A,1,87.5,29.1,8,41.6,51.7,1,25.4,0,43,94.2,93.3
28,N/A,13121002800,Fulton County,Georgia,2021,38,34,43,32,12,52,19,0,-5.8,4,25.7,-42.4,69,4.1,7.5,34,73.3,68.7,20,89.1,80,85,55.6,71.6,51,49,53,30,5.3,-11.6,50,N/A,N/A,68,7.1,30.3,54,5,5.4,28,59,37,77,20.6,26.7,34,42,25,50,13.8,20,35,N/A,N/A,1,88.8,33.9,24,41.3,46.2,N/A,27.5,N/A,50,95,95
