city,state_name,population,pct_black,state,place,state_fips
Richardson city,Texas,118269,12.7,48,61796,48
Round Rock city,Texas,124288,11.2,48,63500,48
San Antonio city,Texas,1458954,6.9,48,65000,48
Sugar Land city,Texas,109735,7.7,48,70808,48
The Woodlands CDP,Texas,116916,4.1,48,72656,48
Tyler city,Texas,107718,23.4,48,74144,48
Waco city,Texas,141925,20.4,48,76000,48
Wichita Falls city,Texas,102558,12.9,48,79000,48
Provo city,Utah,114303,1.1,49,62470,49
Salt Lake City city,Utah,203888,2.7,49,67000,49
West Jordan city,Utah,116277,1.4,49,82950,49
West Valley City city,Utah,137955,2.6,49,83470,49
Alexandria city,Virginia,156788,21.1,51,01000,51
Arlington CDP,Virginia,235463,9.4,51,03000,51
Chesapeake city,Virginia,251153,29.0,51,16000,51
Hampton city,Virginia,137334,49.0,51,35000,51
Newport News city,Virginia,184774,41.0,51,56000,51
Norfolk city,Virginia,235037,39.8,51,57000,51
Richmond city,Virginia,227595,42.0,51,67000,51
Virginia Beach city,Virginia,457066,18.9,51,82000,51
Bellevue city,Washington,151199,2.2,53,05210,53
Everett city,Washington,111083,6.5,53,22640,53
Kent city,Washington,135015,13.4,53,35415,53
Renton city,Washington,105279,9.0,53,57745,53
Seattle city,Washington,741440,6.6,53,63000,53
Spokane city,Washington,229228,2.7,53,67000,53
Spokane Valley city,Washington,105460,1.4,53,67167,53
Tacoma city,Washington,220482,10.5,53,70000,53
Vancouver city,Washington,192696,3.1,53,74060,53
Green Bay city,Wisconsin,106585,3.8,55,31000,55
Madison city,Wisconsin,275568,7.1,55,48000,55
Milwaukee city,Wisconsin,569756,38.6,55,53000,55
Washington city,District of Columbia,672079,43.3,11,50000,11
